parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
81705,126419,5,1192,Phlox divaricata laphamii
48932,52997,20,,Collomia
52997,61871,10,1120,Collomia grandiflora
48932,146623,20,,Loeselia
146623,146622,10,1865,Loeselia mexicana
48932,52942,20,,Navarretia
52942,53157,10,1937,Navarretia squarrosa
48932,50836,20,,Linanthus
50836,77762,10,1985,Linanthus californicus
47181,48064,30,,Primulaceae
48064,791932,27,,Myrsinoideae
791932,48063,20,,Lysimachia
48063,82580,10,151,Lysimachia quadrifolia
48063,204174,10,179,Lysimachia borealis
48063,51809,10,588,Lysimachia nummularia
48063,791928,10,866,Lysimachia arvensis
48063,77917,10,1036,Lysimachia thyrsiflora
48063,496537,10,1422,Lysimachia latifolia
48063,62441,10,1502,Lysimachia ciliata
48063,48062,10,1807,Lysimachia terrestris
791932,70257,20,,Myrsine
70257,70240,10,1165,Myrsine divaricata
70257,210946,10,1526,Myrsine australis
48064,791934,27,,Primuloideae
791934,791968,25,,Primuleae
791968,55820,20,,Primula
55820,742748,15,,Auriculastrum
742748,742759,13,,Dodecatheon
742759,549981,10,355,Primula meadia
742759,498086,10,658,Primula pauciflora
742759,486971,10,855,Primula clevelandii
742759,487175,10,911,Primula hendersonii
55820,742749,15,,Primula
742749,742870,13,,Primula
742870,55819,10,1670,Primula veris
742870,56136,10,1774,Primula vulgaris
48064,791935,27,,Theophrastoideae
791935,791939,25,,Samoleae
791939,60237,20,,Samolus
60237,323870,10,1086,Samolus repens
47181,52649,30,,Sarraceniaceae
52649,52650,20,,Sarracenia
52650,123545,10,152,Sarracenia alata
52650,52651,10,807,Sarracenia purpurea
52650,81900,10,2096,Sarracenia flava
52649,52653,20,,Darlingtonia
52653,52652,10,808,Darlingtonia californica
47181,71506,30,,Ebenaceae
71506,83434,20,,Diospyros
83434,83435,10,323,Diospyros virginiana
83434,120505,10,1463,Diospyros texana
47181,47890,30,,Balsaminaceae
47890,47889,20,,Impatiens
47889,51736,10,566,Impatiens parviflora
47889,47891,10,1148,Impatiens pallida
47889,85492,10,1241,Impatiens noli-tangere
47889,47888,10,1756,Impatiens capensis
47889,47892,10,1758,Impatiens glandulifera
47181,53930,30,,Diapensiaceae
53930,53931,20,,Galax
53931,53925,10,1174,Galax urceolata
47181,48877,30,,Sapotaceae
48877,128749,20,,Sideroxylon
128749,128748,10,1478,Sideroxylon lanuginosum
47181,48212,30,,Clethraceae
48212,48211,20,,Clethra
48211,52867,10,1486,Clethra alnifolia
47124,71281,40,,Cucurbitales
71281,48620,30,,Cucurbitaceae
48620,157618,20,,Ibervillea
157618,164029,10,40,Ibervillea lindheimeri
48620,126427,20,,Melothria
126427,131557,10,98,Melothria pendula
48620,53145,20,,Marah
53145,205330,10,116,Marah fabacea
53145,77959,10,1046,Marah macrocarpa
53145,77960,10,1047,Marah oregana
48620,55425,20,,Cucurbita
55425,58138,10,188,Cucurbita foetidissima
48620,117436,20,,Sicyos
117436,117435,10,611,Sicyos angulatus
48620,48621,20,,Echinocystis
48621,48618,10,1941,Echinocystis lobata
48620,61370,20,,Momordica
61370,61369,10,2039,Momordica charantia
71281,71482,30,,Corynocarpaceae
71482,157099,20,,Corynocarpus
157099,160928,10,1302,Corynocarpus laevigatus
71281,71481,30,,Coriariaceae
71481,273028,20,,Coriaria
273028,366667,10,1546,Coriaria arborea
47124,523723,40,,Boraginales
523723,48150,30,,Boraginaceae
48150,795678,27,,Hydrophylloideae
795678,49347,20,,Phacelia
49347,49345,10,44,Phacelia crenulata
49347,50857,10,374,Phacelia cicutaria
49347,50858,10,375,Phacelia congesta
49347,68303,10,619,Phacelia minor
49347,56631,10,934,Phacelia distans
49347,53170,10,2048,Phacelia californica
795678,50651,20,,Nemophila
50651,50648,10,321,Nemophila menziesii
50651,53158,10,967,Nemophila heterophylla
50651,120550,10,1477,Nemophila phacelioides
795678,72187,20,,Hydrophyllum
72187,77472,10,887,Hydrophyllum tenuipes
72187,77469,10,1511,Hydrophyllum capitatum
72187,81711,10,1762,Hydrophyllum virginianum
795678,58174,20,,Emmenanthe
58174,58173,10,1225,Emmenanthe penduliflora
795678,55438,20,,Pholistoma
55438,55437,10,1568,Pholistoma auritum
48150,795681,27,,Boraginoideae
795681,795687,25,,Lithospermeae
795687,56175,20,,Echium
56175,57723,10,68,Echium candicans
56175,56174,10,1789,Echium vulgare
795687,59925,20,,Lithospermum
59925,59924,10,563,Lithospermum incisum
59925,48595,10,1933,Lithospermum canescens
795687,128567,20,,Buglossoides
128567,135229,10,1022,Buglossoides arvensis
795681,795682,25,,Boragineae
795682,52288,20,,Borago
52288,52287,10,712,Borago officinalis
795682,55725,20,,Symphytum
55725,55724,10,1634,Symphytum officinale
48150,795679,27,,Heliotropioideae
795679,48896,20,,Heliotropium
48896,58058,10,161,Heliotropium curassavicum
48896,83492,10,337,Heliotropium indicum
795679,474423,20,,Euploca
474423,769888,10,1505,Euploca tenella
48150,796031,27,,Cynoglossoideae
796031,796047,25,,Asperugeae
796047,59772,20,,Mertensia
59772,59771,10,525,Mertensia virginica
59772,78018,10,1067,Mertensia ciliata
59772,146900,10,1934,Mertensia paniculata
796031,796035,25,,Rochelieae
796035,72157,20,,Hackelia
72157,128620,10,1446,Hackelia virginiana
796031,796044,25,,Myosotideae
796044,49131,20,,Myosotis
49131,55826,10,1675,Myosotis sylvatica
49131,49132,10,1872,Myosotis latifolia
49131,49130,10,2095,Myosotis scorpioides
796031,796045,25,,Cynoglosseae
796045,48153,20,,Cynoglossum
48153,48152,10,1820,Cynoglossum officinale
796045,769101,20,,Adelinia
769101,769151,10,2099,Adelinia grande
48150,795680,27,,Namoideae
795680,57096,20,,Eriodictyon
57096,76955,10,737,Eriodictyon crassifolium
57096,57095,10,2030,Eriodictyon californicum
795680,58176,20,,Nama
58176,487050,10,885,Nama demissa
48150,795676,27,,Cordioideae
795676,62841,20,,Cordia
62841,160873,10,1283,Cordia boissieri
47124,48526,40,,Dipsacales
